School_code|AgeID|School_name|Street|Town_suburb|Postcode|Phone|School_Email|Fax|Student_number|Indigenous_pct|LBOTE_pct|ICSEA_value|Level_of_schooling|Selective_school|Opportunity_class|School_specialty_type|School_subtype|Support_classes|Preschool_ind|Distance_education|Intensive_english_centre|School_gender|Late_opening_school|Date_1st_teacher|LGA|Electorate|Fed_electorate|Operational_directorate|Principal_network|FACS_district|Local_health_district|AECG_region|ASGS_remoteness|Latitude|Longitude|Assets unit|Date_extracted
3518|10536|Wyalong Public School|George Bland Ave|Wyalong |2671|6972 2140|wyalong-p.school@det.nsw.edu.au|6972 2834|54.0|20.0|np|858|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1894-09-01|Bland (A)|Cootamundra|Riverina|Wagga Wagga|Griffith|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Western 1|Outer Regional Australia|-33.923925|147.24207|Southern NSW|2017-11-03
3519|10538|West Wyalong Public School|Park St|West Wyalong |2671|6972 2157|westwyalon-p.school@det.nsw.edu.au|6972 2818|288.0|14.0|4.0|949|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1894-09-01|Bland (A)|Cootamundra|Riverina|Wagga Wagga|Griffith|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Western 1|Outer Regional Australia|-33.918502|147.204056|Southern NSW|2017-11-03
3521|11023|Wyangala Dam Public School|Waugoola Road|Wyangala|2808|6345 0804|wyangalada-p.school@det.nsw.edu.au|6345 0802|7.0|0.0|0.0||Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1929-08-01|Cowra (A)|Cootamundra|Riverina|Wagga Wagga|Orange|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Outer Regional Australia|-33.966981|148.947211|North Western NSW|2017-11-03
3522|8717|Wyee Public School|Wyee St|Wyee |2259|4357 1225|wyee-p.school@det.nsw.edu.au|4357 1828|214.0|14.0|4.0|932|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1879-05-01|Lake Macquarie (C)|Lake Macquarie|Hunter|Tamworth|Lake Macquarie West|Hunter New England & Central Coast|Hunter New England|Central Coast|Major Cities of Australia|-33.174833|151.482961|Hunter/Central Coast|2017-11-03
3525|10192|Wyndham Public School|Monaro St|Wyndham |2550|6494 2128|wyndham-p.school@det.nsw.edu.au|6494 2231|21.0|0.0|0.0|918|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1868-07-01|Bega Valley (A)|Bega|Eden-Monaro|Wagga Wagga|Far South Coast|Illawarra Shoalhaven & Southern NSW|Southern NSW|Lower South Coast|Outer Regional Australia|-36.92962|149.64656|Southern NSW|2017-11-03
3527|8720|Wyong Public School|Cutler Drive|Wyong |2259|4352 2077|wyong-p.school@det.nsw.edu.au|4351 2885|439.0|18.0|17.0|938|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1888-06-01|Wyong (A)|Wyong|Dobell|Macquarie Park|Wyong|Hunter New England & Central Coast|Central Coast|Central Coast|Major Cities of Australia|-33.271886|151.426188|Hunter/Central Coast|2017-11-03
3528|8718|Wyong Creek Public School|583 Yarramalong Road|Wyong Creek|2259|4352 1583|wyongcreek-p.school@det.nsw.edu.au|4352 1585|78.0|np|14.0|1050|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1883-01-01|Wyong (A)|Wyong|Dobell|Macquarie Park|Wyong|Hunter New England & Central Coast|Central Coast|Central Coast|Major Cities of Australia|-33.267129|151.34807|Hunter/Central Coast|2017-11-03
3529|4919|Wyrallah Public School|Breckenridge St|Wyrallah |2480|6629 8246|wyrallah-p.school@det.nsw.edu.au|6629 8497|26.0|np|np|943|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1867-01-01|Lismore (C)|Lismore|Page|Tamworth|Lismore|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.890407|153.305718|North Coast|2017-11-03
3533|9729|Yamba Public School|Angourie Rd|Yamba |2464|6646 2420|yamba-p.school@det.nsw.edu.au|6646 1578|389.0|16.0|4.0|963|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1868-01-01|Clarence Valley (A)|Clarence|Page|Tamworth|Clarence Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-29.439524|153.353157|North Coast|2017-11-03
3534|10444|Table Top Public School|Hume Hwy|Table Top |2640|6026 2220|tabletop-p.school@det.nsw.edu.au|6026 2402|63.0|np|np|1020|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1884-05-01|Albury (C)|Albury|Farrer|Wagga Wagga|Albury|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1 |Inner Regional Australia|-35.967573|147.007302|Southern NSW|2017-11-03
3536|10555|Yanco Public School|Main Ave|Yanco |2703|6955 7162|yanco-p.school@det.nsw.edu.au|6955 7477|38.0|16.0|0.0|954|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1909-05-01|Leeton (A)|Murray|Farrer|Wagga Wagga|Griffith|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Outer Regional Australia|-34.597911|146.411211|Southern NSW|2017-11-03
3537|10235|Yanderra Public School|16 Yanderra Rd|Yanderra |2574|4684 1377|yanderra-p.school@det.nsw.edu.au|4684 2374|33.0|np|np|936|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1935-01-01|Wollondilly (A)|Wollondilly|Hume|Ultimo|Wollondilly|South Western Sydney|South Western Sydney|Dharawal|Inner Regional Australia|-34.320475|150.571244|South Western Sydney|2017-11-03
3547|9390|Yarrowitch Public School|Chandlers Rd|Yarrowitch |2354|6777 7582|yarrowitch-p.school@det.nsw.edu.au|6777 7411|12.0|np|np|917|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1887-08-01|Walcha (A)|Tamworth|New England|Tamworth|Northern Tablelands|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-31.25059|151.94821|North Western NSW|2017-11-03
3549|10280|Yass Public School|Laidlaw St|Yass |2582|6226 1017|yass-p.school@det.nsw.edu.au|6226 3258|286.0|7.0|5.0|1022|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1879-01-01|Yass Valley (A)|Goulburn|Eden-Monaro|Wagga Wagga|Southern Tablelands|Illawarra Shoalhaven & Southern NSW|Southern NSW|Upper South Coast|Inner Regional Australia|-34.837588|148.906865|Southern NSW|2017-11-03
3554|10549|Yenda Public School|Curran Rd|Yenda |2681|6968 1236|yenda-p.school@det.nsw.edu.au|6968 1636|125.0|9.0|6.0|966|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1920-07-01|Griffith (C)|Murray|Farrer|Wagga Wagga|Griffith|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Outer Regional Australia|-34.252389|146.198309|Southern NSW|2017-11-03
3555|6457|Yeoval Central School|Obley Street|Yeoval|2868|6846 4004|yeoval-c.school@det.nsw.edu.au|6846 4317|119.8|18.0|np|914|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|N|1883-08-01|Cabonne (A)|Orange|Calare|Wagga Wagga|Lachlan|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Outer Regional Australia|-32.754375|148.649673|North Western NSW|2017-11-03
3556|10458|Yerong Creek Public School|Cole St|Yerong Creek |2642|6920 3521|yerongck-p.school@det.nsw.edu.au|6920 3559|21.0|np|np|964|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1881-05-01|Lockhart (A)|Wagga Wagga|Riverina|Wagga Wagga|Wagga Wagga|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Outer Regional Australia|-35.386787|147.060987|Southern NSW|2017-11-03
3559|9514|Yetman Public School|Warialda St|Yetman |2410|07 4675 3150|yetman-p.school@det.nsw.edu.au|07 4675 3102|19.0|0.0|0.0|1034|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1867-01-01|Inverell (A)|Northern Tablelands|New England|Tamworth|Barwon|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-28.902219|150.776261|North Western NSW|2017-11-03
3561|10548|Yoogali Public School|1 East St|Yoogali |2680|6962 4540|yoogali-p.school@det.nsw.edu.au|6964 1476|28.0|np|np|860|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1917-01-01|Griffith (C)|Murray|Farrer|Wagga Wagga|Griffith|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1 |Outer Regional Australia|-34.299691|146.086176|Southern NSW|2017-11-03
3563|10300|Young Public School|Bruce St|Young |2594|6382 2453|young-p.school@det.nsw.edu.au|6382 4056|528.0|8.0|7.0|962|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1861-07-01|Young (A)|Cootamundra|Riverina|Wagga Wagga|Southern Tablelands|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Inner Regional Australia|-34.321407|148.290231|Southern NSW|2017-11-03
3564|9008|Edgeworth Public School|Minmi Rd|Edgeworth|2285|4958 1831|edgeworth-p.school@det.nsw.edu.au|4950 8174|589.0|16.0|7.0|939|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1891-04-01|Lake Macquarie (C)|Cessnock|Hunter|Tamworth|Lake Macquarie West|Hunter New England & Central Coast|Hunter New England|Hunter |Major Cities of Australia|-32.922892|151.620387|Hunter/Central Coast|2017-11-03
3566|10965|Zig Zag Public School|23 Victoria Ave|Lithgow |2790|6351 2352|zigzag-p.school@det.nsw.edu.au|6353 1046|97.0|14.0|7.0|930|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1891-07-01|Lithgow (C)|Bathurst|Calare|Wagga Wagga|Bathurst|Western Sydney & Nepean Blue Mountains|Nepean Blue Mountains|Western 1|Inner Regional Australia|-33.466136|150.182826|North Western NSW|2017-11-03
3578|9929|Pottsville Beach Public School|Tweed Coast Rd|Pottsville |2489|6676 1161|pottsville-p.school@det.nsw.edu.au|6676 2787|697.0|5.0|6.0|1011|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1944-07-01|Tweed (A)|Tweed|Richmond|Tamworth|Tweed|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Major Cities of Australia|-28.377625|153.567798|North Coast|2017-11-03
3580|9492|Rowena Public School|Shaw St|Rowena |2387|6796 5145|rowena-p.school@det.nsw.edu.au|6796 5271|25.0|np|np|1034|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1923-01-01|Walgett (A)|Barwon|Parkes|Wagga Wagga|Western Plains|Murrumbidgee, Far West & Western NSW|Western NSW|North Western 1|Remote Australia|-29.81393|148.91249|North Western NSW|2017-11-03
3591|11044|Dubbo West Public School|East St|Dubbo |2830|6882 3086|dubbowest-p.school@det.nsw.edu.au|6884 3439|340.0|54.0|4.0|795|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1944-01-01|Dubbo (C)|Dubbo|Parkes|Wagga Wagga|Macquarie|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Inner Regional Australia|-32.251915|148.588301|North Western NSW|2017-11-03
3593|8640|Oyster Bay Public School|Short St|Oyster Bay |2225|9528 7525|oysterbay-p.school@det.nsw.edu.au|9528 3346|427.0|np|11.0|1096|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1944-01-01|Sutherland Shire (A)|Miranda|Hughes|Ultimo|Woronora River|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-34.00779|151.080693|Sydney|2017-11-03
3594|16219|Louth Public School|Hughes St|Louth |2840|6874 7426|louth-p.school@det.nsw.edu.au|6874 7439|8.0|0.0|0.0||Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1879-03-01|Bourke (A)|Barwon|Parkes|Wagga Wagga|Western Plains|Murrumbidgee, Far West & Western NSW|Western NSW|Western 2|Very Remote Australia|-30.535792|145.117942|North Western NSW|2017-11-03
3615|16238|Kemps Creek Public School|100 Cross St|Kemps Creek |2171|9826 1143|kempscreek-p.school@det.nsw.edu.au|9826 1202|160.0|6.0|45.0|959|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1885-11-01|Liverpool (C)|Mulgoa|Werriwa|Ultimo|Macarthur|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.882805|150.790299|South Western Sydney|2017-11-03
3626|11063|Enngonia Public School|Belalie St|Enngonia |2840|6874 7550|enngonia-p.school@det.nsw.edu.au|6874 7623|21.0|62.0|0.0|823|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|Y|1884-07-01|Bourke (A)|Barwon|Parkes|Wagga Wagga|Western Plains|Murrumbidgee, Far West & Western NSW|Western NSW|Western 2|Very Remote Australia|-29.318855|145.844482|North Western NSW|2017-11-03
3632|8156|Fairfield Heights Public School|Station St|Fairfield|2165|9724 2254|fairfieldh-p.school@det.nsw.edu.au|9727 9027|1008.0|1.0|92.0|936|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1952-09-01|Fairfield (C)|Fairfield|McMahon|Ultimo|Fairfield|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.866094|150.940272|South Western Sydney|2017-11-03
3635|9652|Scotts Head Public School|Gloucester St|Scotts Head |2447|6569 8144|scottshead-p.school@det.nsw.edu.au|6569 8329|110.0|18.0|14.0|977|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1945-01-01|Nambucca (A)|Oxley|Cowper|Tamworth|Mid North Coast|Mid North Coast & Northern NSW|Mid North Coast|Lower North Coast|Outer Regional Australia|-30.749941|152.995226|North Coast|2017-11-03
3640|9750|Afterlee Public School|2089 Afterlee Road|Afterlee|2474|6633 3163|afterlee-p.school@det.nsw.edu.au|6633 3247|18.0|0.0|np|956|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1919-01-01|Kyogle (A)|Lismore|Page|Tamworth|Richmond Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.582276|152.817857|North Coast|2017-11-03
3643|9634|Stuarts Point Public School|Banksia Rd|Stuarts Point |2441|6569 0627|stuartspt-p.school@det.nsw.edu.au|6569 0534|52.0|35.0|np|833|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1891-01-01|Kempsey (A)|Oxley|Cowper|Tamworth|Mid North Coast|Mid North Coast & Northern NSW|Mid North Coast|Lower North Coast|Outer Regional Australia|-30.818842|152.993686|North Coast|2017-11-03
3659|10082|Sussex Inlet Public School|39 Thomson Street|Sussex Inlet|2540|4441 2053|sussexinle-p.school@det.nsw.edu.au|4441 1729|238.0|10.0|3.0|952|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1907-02-01|Shoalhaven (C)|South Coast|Gilmore|Wagga Wagga|South Coast|Illawarra Shoalhaven & Southern NSW|Illawarra Shoalhaven|Upper South Coast|Inner Regional Australia|-35.167302|150.584194|Southern NSW|2017-11-03
3668|4401|Cronulla South Public School|Ewos Pde|Cronulla |2230|9523 5649|cronullas-p.school@det.nsw.edu.au|9544 1373|319.0|np|22.0|1090|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1943-01-01|Sutherland Shire (A)|Cronulla|Cook|Ultimo|Port Hacking|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-34.06611|151.154201|Sydney|2017-11-03
3673|10173|St Georges Basin Public School|Tallyan Point Rd|Basin View |2540|4443 4251|stgeorgesb-p.school@det.nsw.edu.au|4443 4835|428.0|13.0|7.0|960|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1949-01-01|Shoalhaven (C)|South Coast|Gilmore|Wagga Wagga|South Coast|Illawarra Shoalhaven & Southern NSW|Illawarra Shoalhaven|Upper South Coast|Inner Regional Australia|-35.090698|150.563917|Southern NSW|2017-11-03
3678|8544|Warwick Farm Public School|Lawrence Hargrave Rd|Warwick Farm|2170|9602 8260|warwickfar-p.school@det.nsw.edu.au|9822 5156|227.0|4.0|76.0|939|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1947-05-01|Liverpool (C)|Liverpool|Fowler|Ultimo|Liverpool|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.909642|150.929409|South Western Sydney|2017-11-03
3690|9350|Oxley Vale Public School|Manilla Rd|Tamworth|2340|6761 8238|oxleyvale-p.school@det.nsw.edu.au|6761 8307|343.0|29.0|6.0|893|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1947-01-01|Tamworth Regional (A)|Tamworth|New England|Tamworth|Tamworth|Hunter New England & Central Coast|Hunter New England|North Western 2|Inner Regional Australia|-31.058786|150.89498|North Western NSW|2017-11-03
3696|9137|Soldiers Point Public School|Cromarty Rd|Soldiers Point|2317|4982 7151|soldierspt-p.school@det.nsw.edu.au|4982 0576|344.0|3.0|7.0|1018|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1947-09-01|Port Stephens (A)|Port Stephens|Paterson|Tamworth|Callaghan/Port Stephens|Hunter New England & Central Coast|Hunter New England|Hunter|Inner Regional Australia|-32.709978|152.065351|Hunter/Central Coast|2017-11-03
3698|8149|Chester Hill Public School|Proctor Pde|Chester Hill |2162|9644 1286|chesterhil-p.school@det.nsw.edu.au|9743 8094|660.0|1.0|88.0|938|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1945-01-01|Bankstown (C)|Bankstown|Blaxland|Ultimo|Bankstown|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.885597|151.00161|South Western Sydney|2017-11-03
3702|8572|Georges Hall Public School|Pennington Ave|Georges Hall |2198|9707 1988|georgeshal-p.school@det.nsw.edu.au|9796 7861|851.0|np|88.0|1031|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1942-01-01|Bankstown (C)|East Hills|Blaxland|Ultimo|Glenfield|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.912435|150.9922|South Western Sydney|2017-11-03
3703|7052|South Coogee Public School|Moverly Rd|South Coogee|2034|9349 4000|sthcoogee-p.school@det.nsw.edu.au|9349 4292|523.0|3.0|32.0|1103|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1945-01-01|Randwick (C)|Coogee|Kingsford Smith|Ultimo|Botany Bay|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-33.933333|151.25409|Sydney|2017-11-03
3717|9517|Croppa Creek Public School|Apsley Cres|Croppa Creek |2411|6754 5215|croppacrk-p.school@det.nsw.edu.au|6754 5213|12.0|0.0|0.0|1013|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1949-01-01|Gwydir (A)|Northern Tablelands|Parkes|Tamworth|Barwon|Hunter New England & Central Coast|Hunter New England|North Western 1|Outer Regional Australia|-29.125234|150.309397|North Western NSW|2017-11-03
3719|7863|Annangrove Public School|Annangrove Rd|Annangrove |2156|9679 1303|annangrove-p.school@det.nsw.edu.au|9679 1389|72.0|np|16.0|1032|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1895-07-01|The Hills Shire (A)|Castle Hill|Berowra|Macquarie Park|Dural|Western Sydney & Nepean Blue Mountains|Western Sydney|Metropolitan North|Major Cities of Australia|-33.667417|150.95255|Northern Sydney|2017-11-03
3735|8665|Woronora River Public School|Prices Circuit|Woronora|2232|9521 3582|woronorari-p.school@det.nsw.edu.au|9545 1563|114.0|np|7.0|1059|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1942-01-01|Sutherland Shire (A)|Heathcote|Hughes|Ultimo|Woronora River|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-34.026575|151.041114|Sydney|2017-11-03
3736|7693|Balgowlah Heights Public School|Lewis St|Balgowlah |2093|9948 2225|balgowlaht-p.school@det.nsw.edu.au|9949 7241|728.0|0.0|15.0|1183|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1933-01-01|Manly (A)|Manly|Warringah|Macquarie Park|Warringah|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.805985|151.258754|Northern Sydney|2017-11-03
3741|10259|Goulburn West Public School|Combermere St|Goulburn |2580|4821 1781|goulburnw-p.school@det.nsw.edu.au|4822 1460|427.0|5.0|8.0|981|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1952-01-01|Goulburn Mulwaree (A)|Goulburn|Hume|Wagga Wagga|Southern Tablelands|Illawarra Shoalhaven & Southern NSW|Southern NSW|Upper South Coast|Inner Regional Australia|-34.759172|149.700707|Southern NSW|2017-11-03
3743|8609|Riverwood Public School|Union St|Riverwood |2210|9153 8757|riverwood-p.school@det.nsw.edu.au|9584 1558|110.0|np|92.0|934|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1948-01-01|Canterbury (C)|Lakemba|Banks|Ultimo|Canterbury|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan South West|Major Cities of Australia|-33.947208|151.046586|South Western Sydney|2017-11-03
3744|5440|Warragamba Public School|2-4 Fourth Street|Warragamba|2752|4774 1205|warragamba-p.school@det.nsw.edu.au|4774 2475|355.0|6.0|9.0|959|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1948-01-01|Wollondilly (A)|Wollondilly|Hume|Ultimo|Macarthur|South Western Sydney|South Western Sydney|Metropolitan South West|Inner Regional Australia|-33.890924|150.60539|Western Sydney|2017-11-03
3748|7679|Belrose Public School|Ralston Ave|Belrose |2085|9451 6203|belrose-p.school@det.nsw.edu.au|9975 5047|303.0|np|16.0|1111|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1952-05-01|Warringah (A)|Davidson|Mackellar|Macquarie Park|Ku-Ring-Gai|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.727235|151.216645|Northern Sydney|2017-11-03
3760|18121|Upper Coopers Creek Public School|Upper Coopers Creek Rd|Upper Coopers Creek |2480|6688 2128|cooperscrk-p.school@det.nsw.edu.au|6688 2150|10.0|0.0|np|1085|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1949-03-01|Byron (A)|Ballina|Richmond|Tamworth|Lismore|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.607149|153.401937|North Coast|2017-11-03
3762|6491|Wiripaang Public School|Pacific Hwy|Gateshead |2290|4943 4357|wiripaang-p.school@det.nsw.edu.au|4942 2589|223.0|29.0|7.0|843|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1950-09-01|Lake Macquarie (C)|Charlestown|Shortland|Tamworth|Lake Macquarie East|Hunter New England & Central Coast|Hunter New England|Hunter|Major Cities of Australia|-32.984172|151.691355|Hunter/Central Coast|2017-11-03
3765|6139|Bundeena Public School|48R Scarborough St|Bundeena|2230|9527 2133|bundeena-p.school@det.nsw.edu.au|9523 0940|204.0|np|15.0|1064|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1949-01-01|Sutherland Shire (A)|Heathcote|Hughes|Ultimo|Port Hacking|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Inner Regional Australia|-34.086792|151.152422|Sydney|2017-11-03
3777|4922|Pymble Public School|Crown Road|Pymble|2073|9144 4136|pymble-p.school@det.nsw.edu.au|9988 4938|662.0|0.0|41.0|1180|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1952-01-01|Ku-ring-gai (A)|Ku-ring-gai|Bradfield|Macquarie Park|Ku-Ring-Gai|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.732269|151.141089|Northern Sydney|2017-11-03
3789|8580|Condell Park Public School|Augusta St|Bankstown |2200|9796 7998|condellpk-p.school@det.nsw.edu.au|9790 0973|572.0|np|93.0|937|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1950-01-01|Bankstown (C)|East Hills|Blaxland|Ultimo|Bankstown|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.925486|151.013674|South Western Sydney|2017-11-03
3792|7718|Avalon Public School|Old Barrenjoey Rd|Avalon Beach|2107|9973 1439|avalon-p.school@det.nsw.edu.au|9973 1423|901.0|np|10.0|1113|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1950-08-01|Pittwater (A)|Pittwater|Mackellar|Macquarie Park|Warringah|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.639377|151.326739|Northern Sydney|2017-11-03
3794|6131|Bald Face Public School|Stuart St|Blakehurst |2221|9546 1565|baldface-p.school@det.nsw.edu.au|9546 7782|272.0|np|78.0|1125|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1949-10-01|Kogarah (C)|Oatley|Cook|Ultimo|Port Hacking|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-33.996752|151.106905|Sydney|2017-11-03
3795|9094|Hamilton South Public School|Kenrick St|Merewether |2291|4969 3795|hamiltons-p.school@det.nsw.edu.au|4962 1214|427.0|4.0|10.0|1120|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1933-09-01|Newcastle (C)|Newcastle|Newcastle|Tamworth|Newcastle|Hunter New England & Central Coast|Hunter New England|Hunter|Major Cities of Australia|-32.93344|151.753489|Hunter/Central Coast|2017-11-03
3796|8605|Lugarno Public School|Old Forest Rd|Lugarno |2210|9153 9843|lugarno-p.school@det.nsw.edu.au|9534 1337|269.0|np|41.0|1074|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1933-10-01|Hurstville (C)|Oatley|Banks|Ultimo|Georges River|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-33.984956|151.044676|Sydney|2017-11-03
3797|4409|Oatley West Public School|Oatley Park Ave|Oatley|2223|9580 5048|oatleywest-p.school@det.nsw.edu.au|9580 6372|577.0|2.0|43.0|1123|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1947-01-01|Hurstville (C)|Oatley|Banks|Ultimo|Georges River|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-33.979006|151.065459|Sydney|2017-11-03
